索引,公司名稱,公司網址,職缺名稱,職缺網址,所需技能
1,中國石油化學工業開發股份有限公司,https://www.104.com.tw/company/1f0kpe0?jobsource=2018indexpoc,指揮中心-高階管理師,https://www.104.com.tw/job/6vkqx?jobsource=2018indexpoc,
2,勤業眾信聯合會計師事務所,https://www.104.com.tw/company/17n3i7lk?jobsource=2018indexpoc,大數據稽核諮詢顧問,https://www.104.com.tw/job/550g9?jobsource=2018indexpoc,Excel Outlook PowerPoint Word 
3,GARMIN_台灣國際航電股份有限公司,https://www.104.com.tw/company/at3fhmo?jobsource=2018indexpoc,工業4.0百人招募專案!!Garmin Asia 製造工程處_機構工程師_汐止/林口,https://www.104.com.tw/job/5egqx?jobsource=2018indexpoc,
4,"美商 Canner, Inc_易開科技股份有限公司",https://www.104.com.tw/company/1a2x6bk0rr?jobsource=jolist_c_relevance,後端工程師,https://www.104.com.tw/job/6pg94?jobsource=jolist_c_relevance,
5,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,IT Service Engineer,https://www.104.com.tw/job/3qhu0?jobsource=2018indexpoc,Linux Mac OS OS X UNIX Windows 2003 Windows Server 2008 Windows 8 Windows Server 2012 MS SQL MySQL Vmware Cisco LDAP PPPoE 鼎新 文中系統 
6,大銀微系統股份有限公司_HIWIN MIKROSYSTEM,https://www.104.com.tw/company/18r1oqbc?jobsource=jolist_c_relevance,資訊類_ERP/MES程式設計師,https://www.104.com.tw/job/6v3a5?jobsource=jolist_c_relevance,
7,動力安全資訊股份有限公司,https://www.104.com.tw/company/10vcwn74?jobsource=jolist_c_relevance,大數據 高級工程師,https://www.104.com.tw/job/6g1h3?jobsource=jolist_c_relevance,
8,發條橘子科技股份有限公司,https://www.104.com.tw/company/1a2x6bidrp?jobsource=jolist_c_relevance,Server平台系統工程師,https://www.104.com.tw/job/6ign1?jobsource=jolist_c_relevance,Java MySQL JavaScript 
9,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,【Vpon HK】Regional Account Manager,https://www.104.com.tw/job/6cx3n?jobsource=2018indexpoc,
10,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc?jobsource=2018indexpoc,大數據研究中心研究員,https://www.104.com.tw/job/6v9d2?jobsource=2018indexpoc,
11,國立中山大學_人事室,https://www.104.com.tw/company/1a2x6bkygo?jobsource=2018indexpoc,國立中山大學南區促進產業發展研究中心＿地區產業創新組＿副理,https://www.104.com.tw/job/6uwsc?jobsource=2018indexpoc,Excel PowerPoint Word 
12,和碩集團_和碩聯合科技股份有限公司,https://www.104.com.tw/company/d6gs5o8?jobsource=2018indexpoc,製程專案主管(上海)_8755,https://www.104.com.tw/job/6rjei?jobsource=2018indexpoc,Excel PowerPoint Project Word 
13,"華東科技股份有限公司(Walton Advanced Engineering, Inc.)",https://www.104.com.tw/company/a5ifm8w?jobsource=2018indexpoc,APP 開發工程師,https://www.104.com.tw/job/5up65?jobsource=2018indexpoc,
14,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc?jobsource=2018indexpoc,產品業務,https://www.104.com.tw/job/6agkb?jobsource=2018indexpoc,Excel PowerPoint Word 
15,竹陞科技股份有限公司,https://www.104.com.tw/company/1a2x6bkb4k?jobsource=2018indexpoc,軟體工程師【新竹】,https://www.104.com.tw/job/66xyc?jobsource=2018indexpoc,Linux ASP.NET C C# C++ Visual C# MS SQL Oracle Vmware XML Web services jQuery Socket 
16,和泰汽車股份有限公司,https://www.104.com.tw/company/1hrmizk?jobsource=jolist_c_relevance,資料工程師 (Data Engineer),https://www.104.com.tw/job/6ej3x?jobsource=jolist_c_relevance,
17,豐譽營造股份有限公司,https://www.104.com.tw/company/1a2x6bia3y?jobsource=2018indexpoc,臺馬專案管理與資訊科技中心、淡江大學工程法律中心程式工程師(淡江大學產學合作),https://www.104.com.tw/job/6fvkl?jobsource=2018indexpoc,
18,寰娛數位科技有限公司,https://www.104.com.tw/company/1a2x6bl1mi?jobsource=2018indexpoc,Java工程師(內湖),https://www.104.com.tw/job/6w6mp?jobsource=2018indexpoc,
19,葳騰科技股份有限公司,https://www.104.com.tw/company/ohr8zjk?jobsource=2018indexpoc,雲端運算工程師 Cloud Computing,https://www.104.com.tw/job/5cxtg?jobsource=2018indexpoc,
20,沈氏藝術印刷股份有限公司,https://www.104.com.tw/company/79mvkyw?jobsource=2018indexpoc,行銷、企劃儲備幹部/專員,https://www.104.com.tw/job/6vng8?jobsource=2018indexpoc,Excel PowerPoint Word 
